type sample_L2
pb 15000.0
clip_bound 20.0
log_path log/Alexnet/sample_L2/True/0
train_data data
test_data data
batch_size 64
test_batch_size 64
lr 0.0002
momentum 0.5
no_cuda False
seed 1
log_interval 1
privacy_delta 1e-06
sample_num 500
islog True
is_ratio_list True
num_clients 2
num_rounds 10
epochs 1
ratio_type 0
按照权重分配eps
权重越大,eps越大,噪声越小
device cuda
loading data
load data done
AlexNet(
  (conv1): Sequential(
    (0): Conv2d(3, 96, kernel_size=(6, 6), stride=(1, 1))
    (1): ReLU()
  )
  (conv2): Sequential(
    (0): Conv2d(96, 256, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv3): Sequential(
    (0): Conv2d(256, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv4): Sequential(
    (0): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv5): Sequential(
    (0): Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (dense): Sequential(
    (0): Linear(in_features=9216, out_features=4096, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=4096, out_features=4096, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=4096, out_features=10, bias=True)
  )
)
********start training********
start_round_time 2021-07-04 15:15:51
******client id  0 ******
client_update start
2021-07-04 15:15:53  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 10 ,loss= 2.288937568664551
2021-07-04 15:15:55  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 20 ,loss= 2.1942129135131836
2021-07-04 15:15:57  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 30 ,loss= 1.9993090629577637
2021-07-04 15:15:58  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 40 ,loss= 2.1964783668518066
2021-07-04 15:16:00  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 50 ,loss= 2.063911199569702
2021-07-04 15:16:02  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 60 ,loss= 2.172490358352661
2021-07-04 15:16:04  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 70 ,loss= 2.0689384937286377
2021-07-04 15:16:06  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 80 ,loss= 2.03082013130188
2021-07-04 15:16:08  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 90 ,loss= 1.8258880376815796
2021-07-04 15:16:10  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 100 ,loss= 1.8012117147445679
2021-07-04 15:16:11  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 110 ,loss= 1.8804267644882202
2021-07-04 15:16:13  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 120 ,loss= 1.9375711679458618
2021-07-04 15:16:15  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 130 ,loss= 1.8045036792755127
2021-07-04 15:16:17  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 140 ,loss= 1.7716057300567627
